image_id,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000001.jpg,63,110,114,116,75,141,71,151,109,155
000002.jpg,62,111,116,114,80,134,67,151,109,153
000003.jpg,76,112,104,106,108,128,74,156,98,158
000004.jpg,72,113,108,108,101,138,71,155,101,151
000005.jpg,57,116,120,114,86,118,71,154,104,153
000006.jpg,62,112,113,112,94,130,75,155,102,154
000007.jpg,61,114,115,111,85,136,73,153,104,153
000008.jpg,64,112,112,112,83,136,74,154,104,154
000009.jpg,61,114,118,111,97,139,67,153,109,150
000010.jpg,61,112,117,114,89,136,70,152,107,152
000011.jpg,61,111,116,112,90,140,71,153,104,152
000012.jpg,62,114,115,114,88,135,68,152,109,153
000013.jpg,59,114,117,112,91,139,65,152,108,151
000014.jpg,61,113,117,112,94,140,72,152,103,152
000015.jpg,63,112,113,114,91,134,74,153,104,153
000016.jpg,61,114,114,113,85,136,70,153,105,153
000017.jpg,59,112,118,113,84,138,67,150,111,151
000018.jpg,60,114,117,115,88,134,67,151,108,151
000019.jpg,62,112,117,112,89,134,73,152,104,151
000020.jpg,62,115,114,112,85,122,73,152,105,152
000021.jpg,64,112,112,111,86,137,72,153,106,154
000022.jpg,63,113,114,111,86,132,74,155,102,154
000023.jpg,61,113,113,112,89,140,72,154,103,153
000024.jpg,62,113,115,113,85,120,72,151,104,152
000025.jpg,63,114,118,114,84,128,71,154,107,153
000026.jpg,61,113,116,113,87,136,73,152,104,153
000027.jpg,63,113,114,110,102,137,71,156,106,151
000028.jpg,60,114,118,113,88,145,66,150,111,152
000029.jpg,61,113,116,113,90,129,70,152,107,152
000030.jpg,64,112,114,114,95,135,76,154,103,154
000031.jpg,60,114,117,112,88,138,65,152,112,151
000032.jpg,65,111,113,112,88,132,75,154,101,156
000033.jpg,62,112,114,114,88,136,72,153,106,152
000034.jpg,62,113,114,113,92,135,73,152,104,153
000035.jpg,62,113,115,113,89,135,74,153,104,152
000036.jpg,74,106,101,111,69,138,80,156,102,158
000037.jpg,63,110,109,111,97,131,75,155,101,155
000038.jpg,61,113,115,114,93,137,68,152,109,151
000039.jpg,61,115,113,113,101,130,69,152,109,152
000040.jpg,61,112,117,112,90,138,74,153,103,152
000041.jpg,64,108,113,116,64,144,66,159,105,163
000042.jpg,59,112,119,112,92,137,68,153,108,152
000043.jpg,60,113,118,114,90,136,67,152,110,152
000044.jpg,62,111,115,112,87,137,73,153,105,154
000045.jpg,60,113,117,115,86,140,67,153,110,154
000046.jpg,58,113,118,115,87,139,68,150,107,150
000047.jpg,60,113,116,114,87,135,70,151,107,152
000048.jpg,63,114,117,111,81,123,72,155,101,151
000049.jpg,55,112,112,112,74,138,73,160,105,158
000050.jpg,61,113,116,113,93,138,66,153,111,152
000051.jpg,59,113,119,113,83,139,70,150,109,153
000052.jpg,63,112,114,112,86,135,75,153,105,154
000053.jpg,62,112,115,111,92,136,74,153,104,152
000054.jpg,59,113,118,114,85,138,65,151,112,151
000055.jpg,63,113,114,113,86,132,73,152,102,154
000056.jpg,62,113,115,113,97,132,75,153,103,152
000057.jpg,62,112,112,111,95,132,74,155,102,154
000058.jpg,59,113,116,113,90,130,72,152,105,152
000059.jpg,68,111,117,108,74,131,76,158,104,157
000060.jpg,65,113,114,110,73,130,70,154,105,153
000061.jpg,65,113,106,109,98,129,78,158,100,155
000062.jpg,61,112,115,111,87,135,72,153,104,152
000063.jpg,59,112,117,114,81,140,65,150,114,152
000064.jpg,62,114,116,114,87,131,70,151,106,153
000065.jpg,61,112,116,112,87,135,71,152,106,152
000066.jpg,59,111,118,113,86,137,64,150,114,150
000067.jpg,70,110,106,111,93,136,73,154,104,153
000068.jpg,65,112,113,113,93,134,72,152,105,154
000069.jpg,62,113,115,114,89,124,76,154,101,154
000070.jpg,62,107,116,114,78,143,69,148,110,152
000071.jpg,60,111,117,113,86,137,70,150,107,151
000072.jpg,59,113,117,114,89,137,63,151,112,151
000073.jpg,65,112,115,113,76,133,74,153,104,155
000074.jpg,62,114,115,116,88,121,73,152,104,153
000075.jpg,66,112,116,112,80,128,74,154,103,154
000076.jpg,61,115,119,114,82,123,67,151,108,150
000077.jpg,59,111,118,113,82,137,69,150,109,152
000078.jpg,57,114,119,115,91,124,69,150,107,150
000079.jpg,63,112,113,112,79,138,72,153,104,153
000080.jpg,63,112,114,114,92,137,73,154,106,153
000081.jpg,62,114,115,113,97,135,68,154,109,152
000082.jpg,62,113,115,113,88,134,69,153,108,152
000083.jpg,62,112,117,112,87,137,68,151,109,152
000084.jpg,61,113,114,114,93,127,72,153,107,153
000085.jpg,62,112,116,115,85,139,73,152,106,154
000086.jpg,62,109,112,116,98,129,79,153,100,155
000087.jpg,61,114,116,114,93,141,66,153,112,152
000088.jpg,66,114,113,111,80,134,77,155,100,154
000089.jpg,60,111,114,112,83,141,73,152,103,153
000090.jpg,64,110,113,112,93,133,76,155,101,156
000091.jpg,64,111,115,112,89,139,74,152,103,153
000092.jpg,61,115,117,114,94,135,72,152,105,152
000093.jpg,68,112,113,114,85,124,73,148,102,149
000094.jpg,60,113,117,114,92,132,69,152,110,154
000095.jpg,63,111,114,109,92,131,76,153,101,152
000096.jpg,60,112,115,114,91,127,74,153,103,154
000097.jpg,62,112,115,114,88,131,71,154,101,154
000098.jpg,65,110,116,113,80,137,78,154,102,156
000099.jpg,59,113,118,113,91,137,67,152,111,152
000100.jpg,61,112,115,112,98,133,70,152,107,152
